Station,Lat,Lon,UTM_X,UTM_Y,Elev,File
561,-19.995416666666667,140.69422222222224,468013.0031915632,7788996.697136038,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\561.edi
562,-19.995800000000003,140.71373333333332,470054.119968946,7788957.8829844,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\562.edi
563R,-19.994600277777774,140.73417666666666,472192.4647494693,7789094.168549194,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\563R.edi
564,-19.995483333333333,140.7513886111111,473993.1444880814,7788999.212854482,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\564.edi
565,-19.99631666666667,140.7716166666667,476109.3050325149,7788910.007583437,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\565.edi
571,-19.97663888888889,140.42652777777778,440002.1898865926,7791001.247861078,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\571.edi
572,-19.97672222222222,140.44566666666668,442004.6182324296,7790998.758923452,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\572.edi
573,-19.97675,140.46441666666666,443966.3327073708,7791002.059557393,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\573.edi
574,-19.977805555555555,140.48302777777778,445913.86139426375,7790891.358885308,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\574.edi
575,-19.97694444444444,140.50269444444444,447971.1653406562,7790992.874448141,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\575.edi
576,-19.976916666666664,140.52208333333334,449999.6875443358,7791001.846543926,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\576.edi
577R,-19.976444444444443,140.5408611111111,451964.1350636345,7791059.592462394,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\577R.edi
578,-19.976888888888887,140.56,453966.6371458696,7791015.776956998,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\578.edi
